exper1, exper2, exper3
45.86817002296448, 42.54124593734741, 60.94286799430847
45.4109570980072, 41.64605116844177, 41.37753987312317
25.365734815597534, 24.143486976623535, 23.050230026245117
38.942426919937134, 37.19898986816406, 35.50387978553772
39.020609855651855, 38.918689012527466, 35.81420397758484
22.899545907974243, 23.08914303779602, 22.772669792175293
38.49836206436157, 40.207510232925415, 34.85622811317444
39.322866916656494, 39.261446952819824, 34.790879249572754
23.417975664138794, 23.656790018081665, 22.51802706718445
35.862990856170654, 36.25173807144165, 35.076393127441406
35.740829944610596, 35.485790967941284, 35.20268797874451
23.117867946624756, 22.72491431236267, 22.361706972122192
36.283474922180176, 41.977516651153564, 35.29740810394287
39.269984006881714, 38.25766086578369, 34.817500829696655
23.14847421646118, 23.071184158325195, 22.673595905303955
38.184788942337036, 36.505892753601074, 34.66379189491272
35.20879006385803, 36.866206884384155, 34.9663827419281
23.113888025283813, 22.96382713317871, 22.71557307243347
36.50522804260254, 38.80225896835327, 34.64531898498535
39.58365321159363, 41.40919017791748, 34.62233924865723
23.669736862182617, 24.189677000045776, 22.74440026283264
36.672443866729736, 37.481338024139404, 34.774086236953735
36.80184292793274, 36.25400900840759, 35.35515999794006
23.227418899536133, 23.124229192733765, 22.63625407218933
36.46523690223694, 39.61314296722412, 34.29670286178589
37.14732480049133, 39.63823103904724, 34.616045236587524
23.432389974594116, 23.930505990982056, 22.736443758010864
36.553678035736084, 36.7053279876709, 35.12206482887268
39.96129322052002, 35.71478796005249, 34.834863901138306
32.096476316452026, 23.183647871017456, 22.859137058258057
40.73884987831116, 40.4534170627594, 35.33652925491333
39.50105285644531, 41.16852903366089, 34.827345848083496
23.279178142547607, 31.006048917770386, 22.67268705368042
36.7917001247406, 44.252217292785645, 34.310811042785645
36.4032039642334, 42.130677938461304, 34.49922800064087
23.385525941848755, 25.931880950927734, 22.692825078964233
37.09354496002197, 43.83505296707153, 35.626912117004395
39.182312965393066, 41.58067202568054, 34.895758867263794
23.186707019805908, 24.194101810455322, 22.747679948806763
36.647871017456055, 40.22333812713623, 35.40686368942261
35.26491189002991, 40.590359687805176, 35.259572982788086
25.20597505569458, 23.167069911956787, 22.73835802078247
36.563371896743774, 39.18588900566101, 34.66774010658264
37.70879602432251, 40.298768043518066, 35.081140995025635
22.952592849731445, 23.984275102615356, 22.864980936050415
36.18514394760132, 35.265363931655884, 35.40948796272278
35.46967911720276, 39.15959978103638, 35.41207194328308
23.096779108047485, 23.469473838806152, 22.518988132476807
36.76881289482117, 39.89686322212219, 35.08399176597595
38.28050494194031, 39.1779990196228, 34.552677154541016
23.097819089889526, 23.044498205184937, 22.655022859573364
41.57266402244568, 37.51367807388306, 42.11527705192566
38.832438945770264, 36.73701596260071, 35.44130516052246
23.299975872039795, 22.96436595916748, 22.572314023971558
37.170583963394165, 38.92894697189331, 35.143285036087036
37.70679020881653, 38.61084008216858, 34.65368294715881
23.1413471698761, 23.455590963363647, 22.64949083328247
37.84630584716797, 35.49095010757446, 34.16811013221741
36.61662006378174, 35.80967307090759, 36.99907684326172
23.32236385345459, 23.085358142852783, 22.15569281578064
36.56565713882446, 38.92645502090454, 34.76501989364624
38.28844594955444, 39.4612820148468, 35.5633659362793
22.873649835586548, 22.778045892715454, 22.230665922164917
36.24754214286804, 38.59832811355591, 35.086875915527344
35.656363010406494, 39.126229763031006, 35.511502742767334
23.379626989364624, 22.620348930358887, 22.244599103927612
36.19008111953735, 40.097294092178345, 35.15042424201965
37.99037528038025, 40.301064014434814, 34.50030493736267
23.32176899909973, 22.897606134414673, 22.841094732284546
36.461496114730835, 37.59958505630493, 34.3484411239624
35.84195899963379, 38.46993398666382, 34.843157052993774
23.232687950134277, 22.64778995513916, 22.099174976348877
36.87280893325806, 37.61527109146118, 34.95134687423706
36.44675588607788, 39.35138988494873, 34.449889183044434
23.07136607170105, 23.23959183692932, 22.802570819854736
35.75616693496704, 39.56450295448303, 34.38209915161133
35.44386100769043, 39.48517417907715, 34.89654898643494
23.067163944244385, 22.92460608482361, 22.72807502746582
35.94407510757446, 40.12353301048279, 34.651044845581055
35.660043716430664, 41.14248704910278, 34.51715707778931
23.16616988182068, 23.028861045837402, 22.492377042770386
40.15544009208679, 40.0337700843811, 34.239439249038696
39.38411021232605, 38.288187980651855, 34.4326388835907
23.33142924308777, 22.72489905357361, 22.567210912704468
35.81363797187805, 39.06490993499756, 35.014678716659546
38.50686478614807, 39.33287787437439, 35.011810064315796
23.318061113357544, 23.132049798965454, 22.159482717514038
36.391510009765625, 38.60185194015503, 35.13143301010132
37.6389262676239, 39.46771788597107, 34.64145803451538
23.06258797645569, 22.875697135925293, 22.2545268535614
